x,y,yaw
2.254263,-0.388550,0.833529
2.753720,0.118757,0.840028
3.199435,0.542256,0.851416
3.755009,1.047832,0.858015
4.165761,1.549354,0.890096
4.669570,2.111326,0.898073
5.099102,2.622256,0.877327
5.585822,3.181072,0.842111
6.158178,3.773260,0.779922
6.712243,4.294045,0.772317
7.327677,4.824590,0.769678
7.873285,5.344448,0.763566
8.502038,5.870068,0.757788
9.123480,6.357390,0.663790
9.675563,6.787158,0.610778
10.312145,7.162261,0.603543
10.953575,7.589691,0.595397
11.663193,8.037503,0.589920
12.423950,8.494819,0.588058
13.048971,8.879544,0.610002
13.689085,9.361290,0.609948
14.377852,9.810230,0.610253
15.005171,10.236637,0.579478
15.694610,10.626727,0.568548
16.415937,11.080100,0.603381
16.998741,11.532079,0.750769
17.517807,12.022332,0.849905
17.949959,12.540964,0.985496
18.392700,13.175919,1.074417
18.820440,13.918935,1.099755
19.254362,14.663195,1.102152
19.704340,15.458205,1.098801
20.101000,16.186968,1.089725
20.509132,16.885853,1.031197
20.957596,17.521288,0.955895
21.363834,18.185709,1.010010
21.832493,18.812574,0.998614
22.302044,19.441601,1.072081
22.593348,20.068781,1.201200
22.764143,20.678848,1.376045
22.882185,21.466082,1.461787
22.959003,22.263477,1.585199
22.960306,23.071014,1.637012
22.929398,23.988316,1.652672
22.892859,24.869398,1.652202
22.838299,25.694588,1.700512
22.773481,26.400627,1.671437
22.808611,27.075006,1.329581
23.046928,27.776302,1.057681
23.509161,28.449419,0.797041
24.062641,28.876368,0.592015
24.689383,29.176611,0.580850
25.354761,29.579763,0.533175
26.079102,29.920525,0.416099
26.856974,30.228230,0.385350
27.521667,30.465218,0.325940
27.825443,30.536505,0.318418
